DATE,HPI,HPA_PC,TENYRT,TENYRT_PC,MORTGAGE,MORTGAGE_PC,UNEMPLOYMENT,UNEMPLOYMENT_PC,WAGES,WAGES_PC,SUPPLY,SUPPLY_PC
2015-10-27,174.791,4.890753175989106,2.05,-12.393162393162395,3.79,-3.3163265306122423,5.0,-12.280701754385968,10.59,2.4177949709864603,135552.0,0.6758663715631081
2015-10-28,174.791,4.890753175989106,2.1,-9.482758620689644,3.79,-3.3163265306122423,5.0,-12.280701754385968,10.59,2.4177949709864603,135552.0,0.6758663715631081
2015-10-29,174.791,4.890753175989106,2.19,-6.808510638297878,3.76,-5.527638190954779,5.0,-12.280701754385968,10.59,2.4177949709864603,135552.0,0.6758663715631081
2015-10-30,174.791,4.890753175989106,2.16,-8.474576271186429,3.76,-5.527638190954779,5.0,-12.280701754385968,10.59,2.4177949709864603,135552.0,0.6758663715631081
2015-11-01,175.737,5.021693140664773,2.16,-8.474576271186429,3.76,-5.527638190954779,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-02,175.737,5.021693140664773,2.2,-6.382978723404251,3.76,-5.527638190954779,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-03,175.737,5.021693140664773,2.23,-5.508474576271182,3.76,-5.527638190954779,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-04,175.737,5.021693140664773,2.25,-5.857740585774064,3.76,-5.527638190954779,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-05,175.737,5.021693140664773,2.26,-2.5862068965517264,3.87,-3.731343283582077,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-06,175.737,5.021693140664773,2.34,-1.6806722689075646,3.87,-3.731343283582077,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-09,175.737,5.021693140664773,2.36,-0.421940928270052,3.87,-3.731343283582077,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-10,175.737,5.021693140664773,2.32,-1.2765957446808616,3.87,-3.731343283582077,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-12,175.737,5.021693140664773,2.32,0.0,3.98,-0.748129675810469,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-13,175.737,5.021693140664773,2.28,-2.5641025641025665,3.98,-0.748129675810469,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-16,175.737,5.021693140664773,2.27,-2.155172413793096,3.98,-0.748129675810469,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-17,175.737,5.021693140664773,2.25,-4.661016949152538,3.98,-0.748129675810469,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-18,175.737,5.021693140664773,2.27,-2.991452991452985,3.98,-0.748129675810469,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-19,175.737,5.021693140664773,2.24,-3.0303030303030236,3.97,-0.5012531328320806,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-20,175.737,5.021693140664773,2.26,-1.7391304347826104,3.97,-0.5012531328320806,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-23,175.737,5.021693140664773,2.25,-0.8810572687224677,3.97,-0.5012531328320806,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-24,175.737,5.021693140664773,2.24,0.0,3.97,-0.5012531328320806,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-25,175.737,5.021693140664773,2.23,2.293577981651368,3.95,-0.5037783375314866,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-27,175.737,5.021693140664773,2.22,0.0,3.95,-0.5037783375314866,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-11-30,175.737,5.021693140664773,2.21,-3.0701754385964843,3.95,-0.5037783375314866,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-12-01,176.54,5.052692964551997,2.15,-6.1135371179039355,3.95,-0.5037783375314866,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-02,176.54,5.052692964551997,2.18,-3.111111111111104,3.95,-0.5037783375314866,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-03,176.54,5.052692964551997,2.33,0.8658008658008665,3.93,1.0282776349614406,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-04,176.54,5.052692964551997,2.28,0.8849557522123902,3.93,1.0282776349614406,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-07,176.54,5.052692964551997,2.23,0.4504504504504408,3.93,1.0282776349614406,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-08,176.54,5.052692964551997,2.24,2.7522935779816535,3.93,1.0282776349614406,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-09,176.54,5.052692964551997,2.22,1.3698630136986416,3.93,1.0282776349614406,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-10,176.54,5.052692964551997,2.24,6.666666666666672,3.95,0.5089058524173032,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-11,176.54,5.052692964551997,2.13,0.4716981132075371,3.95,0.5089058524173032,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-14,176.54,5.052692964551997,2.23,7.729468599033824,3.95,0.5089058524173032,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-15,176.54,5.052692964551997,2.28,6.542056074766339,3.95,0.5089058524173032,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-16,176.54,5.052692964551997,2.3,3.6036036036035863,3.95,0.5089058524173032,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-17,176.54,5.052692964551997,2.24,3.2258064516129163,3.97,4.473684210526326,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-18,176.54,5.052692964551997,2.19,0.9216589861751161,3.97,4.473684210526326,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-21,176.54,5.052692964551997,2.2,-2.654867256637151,3.97,4.473684210526326,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-22,176.54,5.052692964551997,2.24,-1.3215859030836918,3.97,4.473684210526326,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-23,176.54,5.052692964551997,2.27,0.8888888888888897,3.97,4.473684210526326,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-24,176.54,5.052692964551997,2.25,1.3513513513513424,3.96,3.394255874673626,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2015-12-28,176.54,5.052692964551997,2.24,1.8181818181818195,3.96,3.394255874673626,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
