DATE,PC
1949-01-01,26.47058823529412
1949-02-01,23.6842105263158
1949-03-01,25.0
1949-04-01,35.8974358974359
1949-05-01,74.28571428571428
1949-06-01,72.22222222222221
1949-07-01,86.11111111111111
1949-08-01,74.35897435897436
1949-09-01,73.68421052631578
1949-10-01,113.51351351351352
1949-11-01,68.42105263157896
1949-12-01,64.99999999999999
1950-01-01,51.162790697674424
1950-02-01,36.17021276595745
1950-03-01,25.999999999999996
1950-04-01,9.433962264150944
1950-05-01,-9.836065573770487
1950-06-01,-12.90322580645161
1950-07-01,-25.37313432835821
1950-08-01,-33.8235294117647
1950-09-01,-33.33333333333333
1950-10-01,-46.835443037974684
1950-11-01,-34.375
1950-12-01,-34.848484848484844
1951-01-01,-43.07692307692307
1951-02-01,-46.87500000000001
1951-03-01,-46.03174603174603
1951-04-01,-46.55172413793103
1951-05-01,-45.45454545454545
1951-06-01,-40.74074074074075
1951-07-01,-38.0
1951-08-01,-31.11111111111111
1951-09-01,-25.00000000000001
1951-10-01,-16.66666666666667
1951-11-01,-16.66666666666667
1951-12-01,-27.90697674418604
1952-01-01,-13.513513513513512
1952-02-01,-8.823529411764701
1952-03-01,-14.705882352941178
1952-04-01,-6.451612903225811
1952-05-01,0.0
1952-06-01,-6.250000000000005
1952-07-01,3.2258064516129057
1952-08-01,9.677419354838705
1952-09-01,-6.0606060606060534
1952-10-01,-14.285714285714285
1952-11-01,-20.000000000000004
1952-12-01,-12.90322580645161
1953-01-01,-9.375000000000009
1953-02-01,-16.129032258064516
1953-03-01,-10.344827586206891
1953-04-01,-6.896551724137923
1953-05-01,-16.666666666666664
1953-06-01,-16.666666666666664
1953-07-01,-18.750000000000004
1953-08-01,-20.58823529411764
1953-09-01,-6.451612903225811
1953-10-01,3.333333333333336
1953-11-01,25.000000000000007
1953-12-01,66.66666666666666
1954-01-01,68.96551724137933
1954-02-01,100.0
1954-03-01,119.23076923076923
1954-04-01,118.5185185185185
1954-05-01,136.0
1954-06-01,123.99999999999997
1954-07-01,123.07692307692307
1954-08-01,122.22222222222221
1954-09-01,110.34482758620689
1954-10-01,83.87096774193549
1954-11-01,51.42857142857142
1954-12-01,11.11111111111111
1955-01-01,0.0
1955-02-01,-9.615384615384615
1955-03-01,-19.298245614035096
1955-04-01,-20.33898305084746
1955-05-01,-27.118644067796616
1955-06-01,-24.999999999999993
1955-07-01,-31.034482758620683
1955-08-01,-30.0
1955-09-01,-32.786885245901644
1955-10-01,-24.561403508771935
1955-11-01,-20.754716981132066
1955-12-01,-15.999999999999998
1956-01-01,-18.367346938775515
1956-02-01,-17.021276595744688
1956-03-01,-8.695652173913032
1956-04-01,-14.893617021276597
1956-05-01,0.0
1956-06-01,2.3809523809523725
1956-07-01,10.000000000000009
1956-08-01,-2.380952380952394
1956-09-01,-4.8780487804877986
1956-10-01,-9.302325581395348
1956-11-01,2.3809523809523725
1956-12-01,0.0
1957-01-01,5.000000000000004
1957-02-01,0.0
1957-03-01,-11.904761904761903
1957-04-01,-2.500000000000002
1957-05-01,-4.651162790697678
1957-06-01,0.0
1957-07-01,-4.545454545454549
1957-08-01,0.0
1957-09-01,12.820512820512834
1957-10-01,15.384615384615389
1957-11-01,18.604651162790695
1957-12-01,23.809523809523807
1958-01-01,38.09523809523809
1958-02-01,64.10256410256412
1958-03-01,81.08108108108108
1958-04-01,89.74358974358975
1958-05-01,80.4878048780488
1958-06-01,69.76744186046511
1958-07-01,78.57142857142856
1958-08-01,80.4878048780488
1958-09-01,61.363636363636346
1958-10-01,48.88888888888889
1958-11-01,21.568627450980404
1958-12-01,19.23076923076923
1959-01-01,3.448275862068969
1959-02-01,-7.8125
1959-03-01,-16.4179104477612
1959-04-01,-29.72972972972973
1959-05-01,-31.08108108108109
1959-06-01,-31.506849315068493
1959-07-01,-32.00000000000001
1959-08-01,-29.72972972972973
1959-09-01,-22.53521126760563
1959-10-01,-14.925373134328357
1959-11-01,-6.451612903225811
1959-12-01,-14.516129032258071
1960-01-01,-13.33333333333333
1960-02-01,-18.644067796610177
1960-03-01,-3.5714285714285587
1960-04-01,0.0
1960-05-01,0.0
1960-06-01,8.000000000000007
1960-07-01,7.843137254901968
1960-08-01,7.692307692307682
1960-09-01,0.0
1960-10-01,7.017543859649113
1960-11-01,5.172413793103446
1960-12-01,24.528301886792452
1961-01-01,26.92307692307691
1961-02-01,43.750000000000014
1961-03-01,27.777777777777775
1961-04-01,34.615384615384606
1961-05-01,39.21568627450981
1961-06-01,27.777777777777775
1961-07-01,27.27272727272727
1961-08-01,17.857142857142858
1961-09-01,21.818181818181824
1961-10-01,6.557377049180333
1961-11-01,0.0
1961-12-01,-9.090909090909086
1962-01-01,-12.12121212121212
1962-02-01,-20.289855072463773
1962-03-01,-18.840579710144937
1962-04-01,-20.000000000000004
1962-05-01,-22.53521126760563
1962-06-01,-20.289855072463773
1962-07-01,-22.85714285714285
1962-08-01,-13.63636363636363
1962-09-01,-16.4179104477612
1962-10-01,-16.92307692307692
1962-11-01,-6.55737704918032
1962-12-01,-8.333333333333332
1963-01-01,-1.7241379310344769
1963-02-01,7.27272727272728
1963-03-01,1.7857142857142954
1963-04-01,1.7857142857142954
1963-05-01,7.27272727272728
1963-06-01,1.818181818181812
1963-07-01,3.7037037037036904
1963-08-01,-5.263157894736839
1963-09-01,-1.7857142857142794
1963-10-01,1.8518518518518452
1963-11-01,0.0
1963-12-01,0.0
1964-01-01,-1.75438596491229
1964-02-01,-8.47457627118644
1964-03-01,-5.263157894736839
1964-04-01,-7.0175438596491295
