DATE,PC
2011-11-01,-1.4450867052023153
2011-12-01,-0.9671179883945807
2012-01-01,-1.0638297872340372
2012-02-01,-0.8729388942773992
2012-03-01,-0.6815968841285325
2012-04-01,-0.19512195121950804
2012-05-01,0.0
2012-06-01,0.29268292682926206
2012-07-01,0.19493177387913815
2012-08-01,0.0
2012-09-01,-0.09794319294810543
2012-10-01,-0.5859375000000049
2012-11-01,0.09775171065493438
2012-12-01,0.3906249999999917
2013-01-01,0.5865102639296063
2013-02-01,0.09784735812132864
2013-03-01,0.588235294117652
2013-04-01,0.8797653958944267
2013-05-01,0.3902439024390161
2013-06-01,0.1945525291828925
2013-07-01,0.0
2013-08-01,0.7827788649706464
2013-09-01,0.8823529411764692
2013-10-01,1.1787819253438212
2013-11-01,0.7812500000000007
2013-12-01,0.1945525291828925
2014-01-01,0.09718172983480626
2014-02-01,0.8797653958944267
2014-03-01,0.5847953216374318
2014-04-01,-0.19379844961239895
2014-05-01,0.09718172983480626
2014-06-01,-0.09708737864079188
2014-07-01,0.1945525291828925
2014-08-01,0.3883495145630985
2014-09-01,0.38872691933917325
2014-10-01,0.3883495145630985
2014-11-01,0.8720930232558125
2014-12-01,1.1650485436893128
2015-01-01,2.3300970873786255
2015-02-01,2.131782945736423
2015-03-01,2.131782945736423
2015-04-01,2.4271844660194173
2015-05-01,2.2330097087378507
2015-06-01,2.1379980563654097
2015-07-01,1.941747572815527
2015-08-01,2.030947775628635
2015-09-01,2.516940948693125
2015-10-01,2.4177949709864603
2015-11-01,1.825168107588852
2015-12-01,1.8234165067178454
2016-01-01,1.0436432637571273
2016-02-01,1.2333965844402353
2016-03-01,1.4231499051233432
2016-04-01,1.327014218009467
2016-05-01,1.5194681861348542
2016-06-01,1.5223596574690785
2016-07-01,2.0952380952381016
2016-08-01,1.5165876777251197
2016-09-01,1.1331444759206892
2016-10-01,1.2275731822474105
2016-11-01,0.943396226415091
2016-12-01,0.8482563619227131
2017-01-01,0.0
2017-02-01,0.09372071227741131
2017-03-01,0.28063610851263926
2017-04-01,0.28063610851263926
2017-05-01,0.5612722170252619
2017-06-01,0.9372071227741298
2017-07-01,0.8395522388059687
2017-08-01,0.6535947712418161
2017-09-01,0.5602240896358424
2017-10-01,0.2798507462686507
2017-11-01,0.28037383177571157
2017-12-01,0.4672897196261749
2018-01-01,0.7511737089201884
2018-02-01,0.46816479400749733
2018-03-01,0.373134328358201
2018-04-01,0.373134328358201
2018-05-01,0.18604651162790303
2018-06-01,0.0
2018-07-01,-0.27752081406106505
2018-08-01,0.27829313543600315
2018-09-01,0.557103064066857
2018-10-01,0.651162790697677
2018-11-01,1.118359739049387
2018-12-01,1.302325581395354
2019-01-01,1.7707362534948694
2019-02-01,1.9571295433364313
2019-03-01,1.5799256505576205
2019-04-01,1.3940520446096687
2019-05-01,1.3927576601671343
2019-06-01,1.6713091922005545
2019-07-01,1.5769944341372906
2019-08-01,1.6651248843663247
2019-09-01,1.2927054478301068
2019-10-01,1.478743068391868
2019-11-01,1.2903225806451666
2019-12-01,0.8264462809917341
2020-01-01,0.6410256410256436
2020-02-01,0.7312614259597813
2020-03-01,1.9213174748398982
2020-04-01,7.607699358386802
2020-05-01,6.410256410256404
2020-06-01,4.109589041095901
2020-07-01,3.744292237442924
2020-08-01,3.184713375796175
2020-09-01,3.372835004557878
2020-10-01,3.1876138433515453
2020-11-01,3.2757051865332065
2020-12-01,4.189435336976312
2021-01-01,3.821656050955413
2021-02-01,3.5390199637023647
2021-03-01,1.795332136445236
2021-04-01,-3.577512776831345
2021-05-01,-2.753872633390693
2021-06-01,-1.2280701754386014
2021-07-01,-0.7922535211267593
2021-08-01,-0.9700176366842983
2021-09-01,-0.5291005291005335
2021-10-01,-1.0591350397175572
2021-11-01,-1.2334801762114431
2021-12-01,-2.0979020979020997
2022-01-01,-1.9281332164767802
2022-02-01,-2.5416301489921205
2022-03-01,-2.3809523809523774
2022-04-01,-2.4734982332155577
2022-05-01,-2.566371681415937
2022-06-01,-3.0195381882770858
2022-07-01,-2.661934338952963
2022-08-01,-2.493321460374008
2022-09-01,-2.9255319148936176
2022-10-01,-2.4085637823372106
2022-11-01,-2.0517395182872473
2022-12-01,-1.6964285714285672
2023-01-01,-1.7873100983020491
2023-02-01,-1.258992805755385
2023-03-01,-0.6323396567299032
2023-04-01,-0.2717391304347768
2023-05-01,0.18165304268846116
2023-06-01,1.2820512820512873
2023-07-01,1.0938924339106582
2023-08-01,0.8219178082191768
2023-09-01,0.7305936073059367
2023-10-01,1.0054844606947093
2023-11-01,0.8196721311475397
