DATE,PC
1988-01-01,7.647932463065732
1988-02-01,7.508071526139355
1988-03-01,7.570748887790405
1988-04-01,7.437318634751492
1988-05-01,7.415654932584969
1988-06-01,7.292155408575621
1988-07-01,7.289567858539078
1988-08-01,7.265040261738649
1988-09-01,7.292440219812857
1988-10-01,7.2293247512474625
1988-11-01,7.290106598537557
1988-12-01,7.238887672432674
1989-01-01,7.390679233774342
1989-02-01,7.3923275725155415
1989-03-01,7.381133592773957
1989-04-01,7.301178992497334
1989-05-01,6.927839150313811
1989-06-01,6.473500825233834
1989-07-01,6.029094374527015
1989-08-01,5.616991643454041
1989-09-01,5.281007751938001
1989-10-01,5.020995387898384
1989-11-01,4.720066784360414
1989-12-01,4.411684634650985
1990-01-01,3.990750006761682
1990-02-01,3.5923152417956157
1990-03-01,3.2416384717225974
1990-04-01,2.922060625432852
1990-05-01,2.646570612841106
1990-06-01,2.358303081692661
1990-07-01,1.960188220365853
1990-08-01,1.5507760473672436
1990-09-01,1.0452961672473702
1990-10-01,0.5466558296845935
1990-11-01,-0.19602718243595332
1990-12-01,-0.6792256045890108
1991-01-01,-1.2770329141578802
1991-02-01,-1.7118087550127867
1991-03-01,-2.1126669343661537
1991-04-01,-2.216672274127187
1991-05-01,-1.9832337188543059
1991-06-01,-1.6373708871573178
1991-07-01,-1.3702536978700817
1991-08-01,-1.1686945681673644
1991-09-01,-0.8562134027325977
1991-10-01,-0.8148737271672382
1991-11-01,-0.4648422155296634
1991-12-01,-0.16801428121390335
1992-01-01,0.22656918922478697
1992-02-01,0.5572134048115923
1992-03-01,0.9368797141723074
1992-04-01,1.0335472771785958
1992-05-01,0.8367979937966085
1992-06-01,0.44609371915834173
1992-07-01,0.23921558318656472
1992-08-01,0.16029641698092748
1992-09-01,0.06168626627467063
1992-10-01,0.3982963956147926
1992-11-01,0.7156482273235505
1992-12-01,0.8125591669296243
1993-01-01,0.9160566193962024
1993-02-01,0.8942171332527935
1993-03-01,0.7721754634363756
1993-04-01,0.7727975270479179
1993-05-01,0.8350894645217752
1993-06-01,1.19347062830792
1993-07-01,1.5275883772159948
1993-08-01,1.8129107580905284
1993-09-01,2.040950169860585
1993-10-01,2.049046178823465
1993-11-01,2.076829634660854
1993-12-01,2.15457651876779
1994-01-01,2.353354865597021
1994-02-01,2.4597524630061045
1994-03-01,2.587586350449483
1994-04-01,2.6658521368409946
1994-05-01,2.83629944052858
1994-06-01,2.822262211462536
1994-07-01,2.7974014903976503
1994-08-01,2.7946349194078275
1994-09-01,2.730252586927174
1994-10-01,2.7238202766159514
1994-11-01,2.560493416422481
1994-12-01,2.5164057911804374
1995-01-01,2.3361453601557227
1995-02-01,2.2876522666937666
1995-03-01,2.210358121132166
1995-04-01,2.119336093281181
1995-05-01,1.8706924844108952
1995-06-01,1.7136094078541355
1995-07-01,1.6860355549971717
1995-08-01,1.6645358602191007
1995-09-01,1.7367584679488048
1995-10-01,1.7698120277274736
1995-11-01,1.8328134747348648
1995-12-01,1.7933422170193132
1996-01-01,1.749412510724024
1996-02-01,1.770812636598435
1996-03-01,1.978932741101023
1996-04-01,2.181971460805104
1996-05-01,2.361716891356074
1996-06-01,2.436125965537752
1996-07-01,2.4611735053189574
1996-08-01,2.4361977561336445
1996-09-01,2.397087581635035
1996-10-01,2.3256670184826223
1996-11-01,2.3683211017042685
1996-12-01,2.427297307217061
1997-01-01,2.5918322457658123
1997-02-01,2.717378041340269
1997-03-01,2.747159160036024
1997-04-01,2.671649215612506
1997-05-01,2.726062220070221
1997-06-01,2.8132250580046265
1997-07-01,2.8976594436204532
1997-08-01,2.99328406711118
1997-09-01,3.116892476217929
1997-10-01,3.3222591362126193
1997-11-01,3.687523937188803
1997-12-01,4.027663310280557
1998-01-01,4.359478291942108
1998-02-01,4.540216913555302
1998-03-01,4.724577274664892
1998-04-01,5.02936553891968
1998-05-01,5.305083547406355
1998-06-01,5.6006111894687365
1998-07-01,5.833684901326576
1998-08-01,6.091874773585136
1998-09-01,6.299285972207663
1998-10-01,6.465692363053842
1998-11-01,6.425957775905264
1998-12-01,6.451724019151958
1999-01-01,6.383610112423677
1999-02-01,6.441825846846144
1999-03-01,6.5308337667623935
1999-04-01,6.644989255054632
1999-05-01,6.691732688778485
1999-06-01,6.821748566976465
1999-07-01,6.956040305613992
1999-08-01,7.085894300883389
1999-09-01,7.235450750063001
1999-10-01,7.420652659812246
1999-11-01,7.542299349240773
1999-12-01,7.692639572007928
2000-01-01,7.8791520041198275
2000-02-01,8.184943206080794
2000-03-01,8.394362011505224
2000-04-01,8.584691670622991
2000-05-01,8.740980030206416
2000-06-01,8.804467876716613
2000-07-01,8.760559880735467
2000-08-01,8.793548586181721
2000-09-01,8.865545359792364
2000-10-01,8.99282401063711
2000-11-01,9.2260524033322
2000-12-01,9.31052441809223
2001-01-01,9.242978757259921
2001-02-01,9.040941789439412
2001-03-01,8.794931800601212
2001-04-01,8.482151532228293
2001-05-01,8.18495727155231
2001-06-01,8.017314027426645
2001-07-01,8.031107811220894
2001-08-01,7.941910596777858
2001-09-01,7.76624303065573
2001-10-01,7.381987837925935
2001-11-01,6.975863788295684
2001-12-01,6.702400586402783
2002-01-01,6.643846840121627
2002-02-01,6.645188731323688
2002-03-01,6.820329586262142
2002-04-01,7.127503313868089
2002-05-01,7.631682179665492
2002-06-01,7.994077804177449
2002-07-01,8.279951714232851
2002-08-01,8.462966855861529
2002-09-01,8.682019301118354
2002-10-01,9.039979186540622
2002-11-01,9.332193997773116
2002-12-01,9.589970374822897
