DATE,PC
2001-04-01,1.498530767706188
2001-07-01,1.4886420219433045
2001-10-01,1.4720221701421559
2002-01-01,1.4606253248911347
2002-04-01,1.4407484760497853
2002-07-01,1.4321242471408269
2002-10-01,1.4456104859442829
2003-01-01,1.453876584271928
2003-04-01,1.4646435057706955
2003-07-01,1.4786212878099225
2003-10-01,1.5031159119235562
2004-01-01,1.5232796873965164
2004-04-01,1.5391848754052113
2004-07-01,1.5655561216942522
2004-10-01,1.5856383893122896
2005-01-01,1.6137712831887272
2005-04-01,1.6401432992956888
2005-07-01,1.6441858771553644
2005-10-01,1.6181021144920062
2006-01-01,1.5833273146030447
2006-04-01,1.561725730910021
2006-07-01,1.535595729945311
2006-10-01,1.496383937067817
2007-01-01,1.4654300701510459
2007-04-01,1.4291110551498363
2007-07-01,1.373600526860476
2007-10-01,1.283684009031885
2008-01-01,1.1904483840578017
2008-04-01,1.097852398982062
2008-07-01,0.9976798143851507
2008-10-01,0.8971411820972892
2009-01-01,0.794811030407485
2009-04-01,0.6937676032017682
2009-07-01,0.6011180029098706
2009-10-01,0.529828665795087
2010-01-01,0.47709559469011686
2010-04-01,0.4130877163565968
2010-07-01,0.3798287345385347
2010-10-01,0.38405962430603086
2011-01-01,0.37302660568580676
2011-04-01,0.37191933145602624
2011-07-01,0.37005019943279194
2011-10-01,0.3757718095382401
2012-01-01,0.3799662420430376
2012-04-01,0.384909141781169
2012-07-01,0.3989060304316949
2012-10-01,0.4309726698417251
2013-01-01,0.4637344573552809
2013-04-01,0.49718263175339744
2013-07-01,0.5290089547746256
2013-10-01,0.5538771399798591
2014-01-01,0.5786811174324873
2014-04-01,0.6026625089949629
2014-07-01,0.6212900376516733
2014-10-01,0.63004955193985
2015-01-01,0.6395283758068729
2015-04-01,0.6474830864602271
2015-07-01,0.6591133957730447
2015-10-01,0.6758663715631081
2016-01-01,0.6918183031543356
2016-04-01,0.7092041071653304
2016-07-01,0.7242681565897316
2016-10-01,0.7391997167138811
2017-01-01,0.7533414337788579
2017-04-01,0.7674269878490727
2017-07-01,0.7814277014285819
2017-10-01,0.7930928423920208
2018-01-01,0.8054495753482729
2018-04-01,0.8170232632784517
2018-07-01,0.8256039139741107
2018-10-01,0.8289922041311565
2019-01-01,0.8330916473317864
2019-04-01,0.8371743015708776
2019-07-01,0.8426722892958235
2019-10-01,0.8524405885659111
2020-01-01,0.8607238133588362
2020-04-01,0.8897818599311137
2020-07-01,0.9015072858114639
2020-10-01,0.9216853266267031
2021-01-01,0.943207904980537
2021-04-01,0.9438122332859175
2021-07-01,0.9750628042635934
2021-10-01,1.0237095666579352
2022-01-01,1.070704645134862
2022-04-01,1.1181804730600942
2022-07-01,1.1490779264590127
2022-10-01,1.1457844243396849
2023-01-01,1.1425177317354391
2023-04-01,1.1392616748191813
2023-07-01,1.1360241240107558
